;link
0;http://#
1;http://andilanaresort.com/?fr
2;http://annonces.tananews.com
3;http://collectif-gtt.org
4;http://collectif-gtt.org/
5;http://collectif-gtt.org/calendar/2016-10
6;http://collectif-gtt.org/calendar/2016-10-01
7;http://collectif-gtt.org/calendar/2016-10-02
8;http://collectif-gtt.org/calendar/2016-10-03
9;http://collectif-gtt.org/calendar/2016-10-04
10;http://collectif-gtt.org/calendar/2016-10-05
11;http://collectif-gtt.org/calendar/2016-10-06
12;http://collectif-gtt.org/calendar/2016-10-07
13;http://collectif-gtt.org/calendar/2016-10-08
14;http://collectif-gtt.org/calendar/2016-10-09
15;http://collectif-gtt.org/calendar/2016-10-10
16;http://collectif-gtt.org/calendar/2016-10-11
17;http://collectif-gtt.org/calendar/2016-10-12
18;http://collectif-gtt.org/calendar/2016-10-13
19;http://collectif-gtt.org/calendar/2016-10-14
20;http://collectif-gtt.org/calendar/2016-10-15
21;http://collectif-gtt.org/calendar/2016-10-16
22;http://collectif-gtt.org/calendar/2016-10-17
23;http://collectif-gtt.org/calendar/2016-10-18
24;http://collectif-gtt.org/calendar/2016-10-19
25;http://collectif-gtt.org/calendar/2016-10-20
26;http://collectif-gtt.org/calendar/2016-10-21
27;http://collectif-gtt.org/calendar/2016-10-22
28;http://collectif-gtt.org/calendar/2016-10-23
29;http://collectif-gtt.org/calendar/2016-10-24
30;http://collectif-gtt.org/calendar/2016-10-25
31;http://collectif-gtt.org/calendar/2016-10-26
32;http://collectif-gtt.org/calendar/2016-10-27
33;http://collectif-gtt.org/calendar/2016-10-28
34;http://collectif-gtt.org/calendar/2016-10-29
35;http://collectif-gtt.org/calendar/2016-10-30
36;http://collectif-gtt.org/calendar/2016-10-31
37;http://collectif-gtt.org/category/defaut/actions-gtt
38;http://collectif-gtt.org/category/defaut/actions-gtt/manifestation
39;http://collectif-gtt.org/category/defaut/communiqu%C3%A9-officiel-gtt
40;http://collectif-gtt.org/category/defaut/documents/communiqu/communiqu-s-officiels-gtt
41;http://collectif-gtt.org/category/defaut/en-direct-madagascar-0
42;http://collectif-gtt.org/category/defaut/gtt-monde
43;http://collectif-gtt.org/category/defaut/interviews
44;http://collectif-gtt.org/category/defaut/mouvance-ravalomanana/en-direct-madagascar/magro
45;http://collectif-gtt.org/category/defaut/plus
46;http://collectif-gtt.org/category/defaut/politique
47;http://collectif-gtt.org/category/defaut/politique/sommets-n-gociations/sommets-maputo/sommet-maputo-i
