,link
0,http://www.midi-madagasikara.mg
1,http://www.madagascar-tribune.com
2,http://www.lexpressmada.com/
3,http://www.laverite.mg
4,http://www.lanation.mg
5,http://www.lagazette-dgi.com
6,http://www.tananarive.info
7,http://www.madagate.com
8,http://www.newsmada.com
9,http://www.moov.mg
10,http://ledaily.mg
11,http://www.mada.pro
12,http://www.madonline.com
13,http://www.policenationale.gov.mg
14,http://www.population.gov.mg
15,http://www.justice.gov.mg
16,http://www.orange.mg
17,http://www.matin.mg
18,http://www.sobikamada.com
19,http://collectif-gtt.org
20,http://www.midi-madagasikara.mg/2013
21,http://www.madagascar-tribune.com/spip.php?page=archives
22,http://www.gendarmerie.gov.mg
