REG_CODE,REGION,DIS_CODE,DISTRICT,COM_CODE,COMMUNE,MDG_FKT_CODE,FOKONTANY
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001001,Antanimalalaka Analakely
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001002,Ambalavao Isotry
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001003,Ambatonakanga Ambohitsorohitra
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001004,Ambatovinaky
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001005,Soarano Ambondrona Ambodifilao
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001006,Ampandrana Ankadivato
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001007,Amparibe Ambohidahy Mahamasina
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001008,Amboasarikely Ambatomena
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001009,Anatihazo Isotry
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001010,Andavamamba Anatihazo I
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001011,Andavamamba Anatihazo II
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001012,Andavamamba Anjezika I
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001013,Andavamamba Anjezika II
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001014,Andohatapenaka I
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001015,Andohatapenaka II
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001016,Andohatapenaka IIi
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001017,Andranomanalina Afovoany
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001018,Andranomanalina I
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001019,Andranomanalina Isotry
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001020,Ankasina
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001021,Antetezanafovoany I
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001022,Antetezanafovoany II
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001023,Antohomadinika Afovoany
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001024,Antohomadinika Atsimo
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001025,Antohomadinika Avaratra Antani
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001026,Antohomadinika Antsalovana Faa
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001027,Antohomadinika IIig Hangar
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001028,Avaratetezana Bekiraro
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001029,Cite Ambodin-isotry
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001030,Cite Ampefiloha
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001031,67ha Afovoany Andrefana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001032,67ha Atsimo
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001033,67ha Avaratra Andrefana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001034,67ha Avaratra Atsinanana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001035,Lalamby Sy Ny Manodidina
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001036,Faravohitra Ambony
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001037,Faravohitra Mandrosoa
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001038,Isoraka Ampatsakana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001039,Fiata
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001040,Manarintsoa Afovoany
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001041,Manarintsoa Anatihazo
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001042,Manarintsoa Atsinanana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001043,Manarintsoa Isotry
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101001,1er Arrondissement,MDG11101001044,Soarano Ambondrona Tsiazotafo
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002001,Faliarivo Ambanidia
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002002,Antanimora Ampasanimalo
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002003,Antsahabe Ankorahotra Ankazoto
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002004,Ambohitsiroa Vn
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002005,Ankazotokana Ambony
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002006,Tsiadana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002007,Volosarika Ambanidia
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002008,Andafiavaratra Ambavahadimitaf
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002009,Manjakamiadana Antsahondra Amb
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002010,Ambatoroka
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002011,Miandrarivo Ambanidia
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002012,Ambolokandrina 5a
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002013,Andohan-i Mandroseza Ambohibat
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002014,Ambohipo Tanana Ampahateza And
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002015,Ambohipotsy Ambohimitsimbina A
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002016,Andohamandry
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002017,Manakambahiny Ankerakely Ambat
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002018,Ambohimiandra Fenomanana Antsa
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002019,Mandroseza Afovoany Mandroseza
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002020,Mahazoarivo Ambohidraserika
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002021,Morarano Andrangaranga Ambatol
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002022,Ambohitsoa Ankazolava Antanamb
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002023,Androndrabe Ampamantanana Ambo
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101002,2e Arrondissement,MDG11101002024,Androndrakely Saropody Antonta
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003001,Antaninandro Ampandrana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003002,Ankorondrano Andranomahery
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003003,Ankorondrano Atsinanana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003004,Ankorondrano Andrefana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003005,Ankazomanga Andraharo
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003006,Ambodivona Ankadifotsy
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003007,Tsaramasay
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003008,Ankadifotsy Befelatanana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003009,Ambohibary Antanimena
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003010,Andravoahangy Tsena
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003011,Mandialaza Ambodivona
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003012,Soavinandriana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003013,Mandialaza Ankadifotsy
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003014,Antanimena
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003015,Ankadifotsy Antanifotsy
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003016,Ankaditapaka Avaratra
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003017,Mandialaza Ambatomitsangana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003018,Andravoahangy Andrefana
MDG11,Analamanga,MDG11101,Antananarivo Renivohitra,MDG11101003,3e Arrondissement,MDG11101003019,Mahavoky
